"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","PNW_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","GTES_Registered Block 2","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","HESM_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","COR_Unregistered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","IHS_Unregistered Block","2983.42","2983.42","90233793.71","0.00","0.00","0.00","2983.42"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","MP_Marketed FO_Convert","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","BLUE_Marketed FO","-7398.77","-7398.77","90233793.71","0.00","1046.57","1046.57","-7398.77"
"N/A","N/A","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","","","","","","","732012.49","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Cash","Missing Active Hedge","Cash","","","732012.49","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","FDMT_Marketed FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","AHR_IPO","","","90233793.71","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Operating ","Cash","Missing Active Hedge","Financing","","","732012.49","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Cash","Missing Active Hedge","Expenses","-2124383.41","-1630749.69","90233793.71","-378860.13","-382995.13","-382995.13","-1630749.69"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Operating ","Cash","Missing Active Hedge","Expenses","-68820.80","-211541.25","732012.49","-59457.63","-59457.63","-59457.63","-211541.25"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","BUD_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
