"PROFILE_NAME","TIMESTAMP","RIGHT_CODE"
"ADMIN","7110273820757331319","AMEND_PROFILE"
"ADMIN","7110273820610530676","AMEND_USER"
"ADMIN","7110273820614724981","CHANGE_PWD"
"ADMIN","7110273820799274364","DELETE_PROFILE"
"ADMIN","7110273820614724978","DELETE_USER"
"ADMIN","7110273820782497146","DISABLE_USER"
"ADMIN","7110273820799274363","ENABLE_USER"
"ADMIN","7110273820757331318","EXPIRE_PWD"
"ADMIN","7110273820757331321","INSERT_PROFILE"
"ADMIN","7110273820610530675","INSERT_USER"
"ADMIN","7110273820757331320","USER_PROFILE_AMEND"
"ADMIN","7110273820757331320","ADMIN_VIEW_READ"
"ADMIN","7110273820757331320","ADMIN_VIEW_WRITE"
"SUPER_USER","7110273820757331319","AMEND_PROFILE"
"SUPER_USER","7110273820610530676","AMEND_USER"
"SUPER_USER","7110273820614724981","CHANGE_PWD"
"SUPER_USER","7110273820799274364","DELETE_PROFILE"
"SUPER_USER","7110273820614724978","DELETE_USER"
"SUPER_USER","7110273820782497146","DISABLE_USER"
"SUPER_USER","7110273820799274363","ENABLE_USER"
"SUPER_USER","7110273820757331318","EXPIRE_PWD"
"SUPER_USER","7110273820757331321","INSERT_PROFILE"
"SUPER_USER","7110273820610530675","INSERT_USER"
"SUPER_USER","7110273820757331320","USER_PROFILE_AMEND"
"SUPER_USER","7110273820757331319","ANALYST_VIEW_READ"
"SUPER_USER","7110273820610530676","ANALYST_VIEW_WRITE"
"SUPER_USER","7110273820614724981","SOURCING_VIEW_READ"
"SUPER_USER","7110273820799274364","SOURCING_VIEW_WRITE"
"SUPER_USER","7110273820614724978","ISSUER_VIEW_READ"
"SUPER_USER","7110273820782497146","ISSUER_VIEW_WRITE"
"SUPER_USER","7110273820799274363","REPORTS_VIEW_READ"
"SUPER_USER","7110273820757331318","REPORTS_VIEW_WRITE"
"SUPER_USER","7110273820757331321","DATA_MANAGEMENT_VIEW_READ"
"SUPER_USER","7110273820610530675","DATA_MANAGEMENT_VIEW_WRITE"
"SUPER_USER","7110273820757331320","ADMIN_VIEW_READ"
"SUPER_USER","7110273820757331320","ADMIN_VIEW_WRITE"
